"Rank","Name","Symbol","earnings_ttm","price (USD)","country"
"1","Toyota","TM","43039800000","244.3","Japan"
"2","Mitsubishi UFJ Financial","MUFG","18039600000","10.205","Japan"
"3","NTT (Nippon Telegraph &amp; Telephone)","NPPXF","12909200000","1.145","Japan"
"4","Mitsui Bussan","8031.T","10083700000","47.86","Japan"
"5","Mitsubishi Corporation","8058.T","9479900000","23.18","Japan"
"6","Inpex","1605.T","8948400000","16.19","Japan"
"7","Honda","HMC","8877820000","37.005","Japan"
"8","Sumitomo Mitsui Financial Group","SMFG","7996170000","11.685","Japan"
"9","Sony","SONY","7968020000","84.47","Japan"
"10","KDDI","9433.T","7847480000","29","Japan"
"11","Hitachi","6501.T","7674070000","91.5","Japan"
"12","Itōchū Shōji","8001.T","7230990000","44.42","Japan"
"13","Mizuho Financial Group","MFG","7031510000","3.92","Japan"
"14","Shin-Etsu Chemical","4063.T","5864550000","40.76","Japan"
"15","Nippon Steel","5401.T","5329650000","23.71","Japan"
"16","Japan Tobacco","2914.T","5316320000","26.98","Japan"
"17","Tokio Marine","8766.T","5266370000","31.62","Japan"
"18","Sumitomo","8053.T","4974650000","24.47","Japan"
"19","KEPCO","9503.T","4819120000","14.99","Japan"
"20","Nintendo","7974.T","4813770000","51.72","Japan"
"21","Nissan","7201.T","4545900000","3.84","Japan"
"22","Japan Post Holdings","6178.T","4265480000","9.94","Japan"
"23","Komatsu","6301.T","3993550000","30.09","Japan"
"24","Bridgestone","5108.T","3941800000","43.66","Japan"
"25","Daiwa House","1925.T","3853680000","29.48","Japan"
"26","Marubeni","8002.T","3775010000","17.32","Japan"
"27","Chubu Electric Power","9502.T","3740620000","12.83","Japan"
"28","Toyota Tsusho","8015.T","3619520000","66.29","Japan"
"29","Subaru","7270.T","3606070000","23.14","Japan"
"30","Keyence","6861.T","3596760000","430.69","Japan"
"31","Central Japan Railway","9022.T","3528320000","24.18","Japan"
"32","Sompo Holdings","8630.T","3482080000","21.03","Japan"
"33","MS&amp;AD Insurance","8725.T","3457490000","18.13","Japan"
"34","Chugai Pharmaceutical","4519.T","3394920000","35.51","Japan"
"35","Tokyo Electron","8035.T","3351800000","247.9","Japan"
"36","Japan Post Bank","7182.T","3345720000","10.46","Japan"
"37","Fast Retailing","9983.T","3325040000","295.22","Japan"
"38","Renesas Electronics","6723.T","3219280000","18.39","Japan"
"39","Panasonic","6752.T","3175830000","9.19","Japan"
"40","Denso","6902.T","3167380000","19.01","Japan"
"41","Suzuki Motor","7269.T","3158680000","11.98","Japan"
"42","ENEOS Holdings","5020.T","3054400000","4.88","Japan"
"43","Dai-ichi Life Holdings","8750.T","2876080000","24.56","Japan"
"44","Recruit","6098.T","2870580000","44.52","Japan"
"45","Canon","7751.T","2860290000","29.21","Japan"
"46","ORIX","IX","2772210000","106.9","Japan"
"47","Daikin","6367.T","2745670000","132.5","Japan"
"48","Mitsubishi Chemical Holdings","4188.T","2631350000","6.01","Japan"
"49","East Japan Railway","9020.T","2512670000","19.07","Japan"
"50","Toyota Industries","6201.T","2510790000","94.46","Japan"
"51","Mitsubishi Electric","6503.T","2492610000","16.02","Japan"
"52","Tōkyō Gas","9531.T","2442730000","23.06","Japan"
"53","Kubota","6326.T","2424580000","16.57","Japan"
"54","Nippon Yūsen","9101.T","2325810000","26.98","Japan"
"55","Mitsubishi Heavy Industries","7011.T","2320900000","8.78","Japan"
"56","Isuzu","7202.T","2284990000","13.71","Japan"
"57","Takeda Pharmaceutical","TAK","2283430000","13.665","Japan"
"58","Mitsui Fudosan","8801.T","2283150000","10.67","Japan"
"59","Idemitsu Kosan","5019.T","2187850000","6.98","Japan"
"60","Fujifilm","4901.T","2164010000","22.35","Japan"
"61","NTT Data","9613.T","2099300000","15.36","Japan"
"62","Sekisui House","1928.T","2098630000","23.19","Japan"
"63","Tohoku Electric Power","9506.T","2093390000","7.89","Japan"
"64","Mitsui O.S.K. Lines","9104.T","2091320000","29.88","Japan"
"65","Mazda","7261.T","2026910000","11.83","Japan"
"66","7-Eleven","3382.T","2009050000","14.21","Japan"
"67","Osaka Gas","9532.T","1939650000","21.81","Japan"
"68","Murata Manufacturing (Murata Seisakusho)","6981.T","1923670000","18.02","Japan"
"69","SMC corp","6273.T","1824150000","558.13","Japan"
"70","Sumitomo Denki Kōgyō","5802.T","1792940000","15.37","Japan"
"71","Yamaha Motor","7272.T","1771120000","9.48","Japan"
"72","ANA Holdings","9202.T","1755890000","20.32","Japan"
"73","Fujitsu","6702.T","1741380000","16.25","Japan"
"74","JFE Holdings","5411.T","1698220000","16.33","Japan"
"75","Sumitomo Realty &amp; Development","8830.T","1694730000","37.41","Japan"
"76","Asahi Group","2502.T","1659440000","36.74","Japan"
"77","Mitsubishi Estate","8802.T","1600940000","18.73","Japan"
"78","Hoya","7741.T","1550810000","115.16","Japan"
"79","Aeon","8267.T","1525070000","22.89","Japan"
"80","Resona Holdings","8308.T","1476230000","6.35","Japan"
"81","NEC Corp","6701.T","1458690000","73.86","Japan"
"82","Nomura Holdings","NMR","1428040000","6.215","Japan"
"83","Daiichi Sankyō","4568.T","1383210000","30.75","Japan"
"84","Shionogi","4507.T","1364920000","49.55","Japan"
"85","Fanuc","6954.T","1325570000","27.86","Japan"
"86","Nidec","6594.T","1318540000","40.25","Japan"
"87","Z Holdings","4689.T","1217670000","2.47","Japan"
"88","Kajima","1812.T","1198170000","19.94","Japan"
