"Rank","Name","Symbol","revenue_ttm","price (USD)","country"
"1","Toyota","TM","307489866616","244.3","Japan"
"2","Bridgestone","5108.T","305833044117","43.66","Japan"
"3","Mitsubishi Corporation","8058.T","141171175704","23.18","Japan"
"4","Honda","HMC","136431625368","37.005","Japan"
"5","ENEOS Holdings","5020.T","98335182715","4.88","Japan"
"6","Itōchū Shōji","8001.T","97658345368","44.42","Japan"
"7","NTT (Nippon Telegraph &amp; Telephone)","NPPXF","93781707670","1.145","Japan"
"8","Mitsui Bussan","8031.T","93577752933","47.86","Japan"
"9","Sony","SONY","88972241182","84.47","Japan"
"10","Nissan","7201.T","86489211294","3.84","Japan"
"11","7-Eleven","3382.T","81330531825","14.21","Japan"
"12","Japan Post Holdings","6178.T","78615665234","9.94","Japan"
"13","Toyota Tsusho","8015.T","71794234526","66.29","Japan"
"14","Hitachi","6501.T","70513014443","91.5","Japan"
"15","Aeon","8267.T","66275938275","22.89","Japan"
"16","Dai-ichi Life Holdings","8750.T","64460644867","24.56","Japan"
"17","Idemitsu Kosan","5019.T","61035898820","6.98","Japan"
"18","Nippon Steel","5401.T","60926242180","23.71","Japan"
"19","Panasonic","6752.T","59640274803","9.19","Japan"
"20","Marubeni","8002.T","51066914467","17.32","Japan"
"21","Denso","6902.T","50191356936","19.01","Japan"
"22","Tokio Marine","8766.T","48082908727","31.62","Japan"
"23","Sumitomo","8053.T","48055610376","24.47","Japan"
"24","SoftBank","9984.T","47236775274","56.61","Japan"
"25","MS&amp;AD Insurance","8725.T","44758094178","18.13","Japan"
"26","KDDI","9433.T","40600628378","29","Japan"
"27","Mitsubishi UFJ Financial","MUFG","39834296070","10.205","Japan"
"28","Daiwa House","1925.T","37040796785","29.48","Japan"
"29","Mitsubishi Electric","6503.T","36867873633","16.02","Japan"
"30","JFE Holdings","5411.T","36865330198","16.33","Japan"
"31","Suzuki Motor","7269.T","35742613953","11.98","Japan"
"32","Aisin Seiki","7259.T","34662354398","39.28","Japan"
"33","Mazda","7261.T","33085720832","11.83","Japan"
"34","Sompo Holdings","8630.T","32722593136","21.03","Japan"
"35","Mitsubishi Heavy Industries","7011.T","32001454122","8.78","Japan"
"36","Mitsubishi Chemical Holdings","4188.T","31602288421","6.01","Japan"
"37","Subaru","7270.T","31397492100","23.14","Japan"
"38","Sumitomo Denki Kōgyō","5802.T","30442687504","15.37","Japan"
"39","NTT Data","9613.T","30048545390","15.36","Japan"
"40","Canon","7751.T","30041803703","29.21","Japan"
"41","Daikin","6367.T","29965168901","132.5","Japan"
"42","KEPCO","9503.T","29487370671","14.99","Japan"
"43","Takeda Pharmaceutical","TAK","29348955701","13.665","Japan"
"44","Sumitomo Mitsui Financial Group","SMFG","28000782196","11.685","Japan"
"45","Chubu Electric Power","9502.T","27385722587","12.83","Japan"
"46","Komatsu","6301.T","26823692752","30.09","Japan"
"47","Toyota Industries","6201.T","26356646314","94.46","Japan"
"48","Fujitsu","6702.T","26313169099","16.25","Japan"
"49","NEC Corp","6701.T","24339634131","73.86","Japan"
"50","Recruit","6098.T","23958699374","44.52","Japan"
"51","Isuzu","7202.T","23927294885","13.71","Japan"
"52","Sekisui House","1928.T","21654526061","23.19","Japan"
"53","Japan Post Insurance","7181.T","21396285740","19.42","Japan"
"54","Kubota","6326.T","21314142848","16.57","Japan"
"55","Tohoku Electric Power","9506.T","20729853371","7.89","Japan"
"56","Fujifilm","4901.T","20612919626","22.35","Japan"
"57","Tōkyō Gas","9531.T","20550812956","23.06","Japan"
"58","Mizuho Financial Group","MFG","20281694642","3.92","Japan"
"59","Fast Retailing","9983.T","20124754515","295.22","Japan"
"60","Japan Tobacco","2914.T","20092258577","26.98","Japan"
"61","Asahi Kasei","3407.T","19389627658","7.28","Japan"
"62","Asahi Group","2502.T","19190720980","36.74","Japan"
"63","Mitsubishi Motors","7211.T","19140823317","3.26","Japan"
"64","East Japan Railway","9020.T","18898730744","19.07","Japan"
"65","Kajima","1812.T","18540530983","19.94","Japan"
"66","Shin-Etsu Chemical","4063.T","17427533803","40.76","Japan"
"67","Sumitomo Chemical","4005.T","17250809550","2.3","Japan"
"68","Toray Industries","3402.T","17028212778","4.85","Japan"
"69","Yamaha Motor","7272.T","17017809012","9.48","Japan"
"70","Nippon Express","9147.T","16805661870","51.24","Japan"
"71","Nippon Yūsen","9101.T","16590776347","26.98","Japan"
"72","Sharp Corporation","6753.T","16529109442","5.43","Japan"
"73","Mitsui Fudosan","8801.T","16527622169","10.67","Japan"
"74","Sojitz Corporation","2768.T","16487476395","25.97","Japan"
"75","Ricoh Company","7752.T","16254965604","9.03","Japan"
"76","Nidec","6594.T","16177509401","40.25","Japan"
"77","Obayashi","1802.T","15813396872","11.78","Japan"
"78","Osaka Gas","9532.T","15515392458","21.81","Japan"
"79","Inpex","1605.T","15296676254","16.19","Japan"
"80","T&amp;D Holdings","8795.T","15088953795","17.43","Japan"
"81","Kirin Holdings","2503.T","14902860908","14.19","Japan"
"82","Rakuten","4755.T","14775732889","5.83","Japan"
"83","TDK","6762.T","14707216614","50.03","Japan"
"84","AGC","5201.T","14537171222","36.72","Japan"
"85","Otsuka Holdings","4578.T","14195842101","41.27","Japan"
"86","Pan Pacific International Holdings","7532.T","14131451074","25.36","Japan"
"87","Kyocera","6971.T","14038868572","12.88","Japan"
"88","ANA Holdings","9202.T","14013481292","20.32","Japan"
"89","Tokyo Electron","8035.T","13047631684","247.9","Japan"
"90","Z Holdings","4689.T","12551347497","2.47","Japan"
"91","Yamato Holdings","9064.T","12474689540","14.24","Japan"
"92","Japan Post Bank","7182.T","12389998934","10.46","Japan"
"93","Daito Trust Construction","1878.T","12106406273","111.77","Japan"
"94","ORIX","IX","12094185939","106.9","Japan"
"95","Nintendo","7974.T","11973575948","51.72","Japan"
"96","Kintetsu GHD","9041.T","11725760007","29.03","Japan"
"97","Central Japan Railway","9022.T","11646672296","24.18","Japan"
"98","Toppan","7911.T","11577076389","25","Japan"
"99","West Japan Railway","9021.T","11399031066","20.31","Japan"
"100","Japan Airlines","9201.T","11390864345","18.74","Japan"
"101","Murata Manufacturing (Murata Seisakusho)","6981.T","11226667544","18.02","Japan"
"102","Suntory","2587.T","11173425786","34.22","Japan"
"103","Kaō","4452.T","11135668795","40.52","Japan"
"104","Mitsui O.S.K. Lines","9104.T","11066474711","29.88","Japan"
"105","Astellas Pharma","4503.T","10865412232","10.51","Japan"
"106","Renesas Electronics","6723.T","10768615683","18.39","Japan"
"107","Daiichi Sankyō","4568.T","10584051473","30.75","Japan"
"108","Iida Group","3291.T","10169001199","12.85","Japan"
"109","Nippon Paint","4612.T","10127287289","6.84","Japan"
"110","Sumitomo Metal Mining","5713.T","10094283817","33.21","Japan"
"111","Dai Nippon Printing","7912.T","9947356138","30.02","Japan"
"112","Mitsubishi Estate","8802.T","9937329839","18.73","Japan"
"113","Ajinomoto","2802.T","9864280072","36.93","Japan"
"114","Hitachi Construction Machinery","6305.T","9863031589","31.39","Japan"
